Celdas;N_puntos_por_celda;canopy_height;co;radiation;elevation;ET;EVI;FPAR;gHM_;gpp;HCHO;NDWI;no2;Npp;o3;pp;PSRI;rel_humidity;SO2;soc;soil_ph;temp;temp_max;TOPODIV;VCF;vel_30m_m00_ll;vel_5m_m00_ll
0;1;24.18232918;0.017869659;3.581009626;466.0237427;9.199999809;0.125285715;0.819999993;0.21975182;0.0305;5.47E-05;0.238765568;5.75E-05;0.409000009;0.131987065;2650.500977;-0.291563272;58.63064194;5.12E-05;105.2426834;490.2399902;9.358333588;13.975;0.975894809;80;3.913211823;2.567304134
1;1;28.30827522;0.017976813;3.828447104;476.1473694;10.80000019;0.366285712;0.810000002;0.271259636;0.034299999;5.89E-05;0.364649266;5.77E-05;0.889699996;0.13204965;2544.236816;-0.349670798;58.88773727;4.92E-05;105.2034302;494.9983521;8.725;13.375;0.821040571;81;3.859388113;2.391771555
2;1;1.6938591;0.01780176;3.413223028;567.6797485;9.916666985;0.248199999;0.660000026;0.218713313;0.022949999;5.93E-05;0.24433437;5.72E-05;0.996299982;0.132120654;2514.000488;-0.363304675;57.16044617;6.30E-05;125;505.0016479;9.591666412;14.19166718;0.961713672;80;3.863374233;2.477837563
3;1;0.861307025;0.017775463;3.374076843;507.7167969;9.916666985;0.248199999;0.660000026;0.218372345;0.022949999;5.93E-05;0.289917827;5.71E-05;0.996299982;0.132238448;2518.920166;-0.409355313;57.00426483;6.92E-05;127.4599228;504.8374634;9.016666412;13.675;0.95354861;80;3.739723206;2.415485144
4;1;22.23200226;0.018478772;3.929721355;205.2987671;19.04999924;0.462285727;0.899999976;0.294038028;0.035750002;6.08E-05;0.284524471;5.77E-05;1.515900016;0.132438913;2474.935547;-0.234829798;60.15985107;6.94E-05;97.53873444;515.8093872;10.41666641;14.8;0.448849231;77;3.624830723;2.285766363
5;1;23.31633425;0.018132892;3.94260323;183.2593575;18.0062499;0.502060622;0.887499988;0.334042192;0.035087501;5.66E-05;0.319087997;5.76E-05;1.540199995;0.132216342;2496.044556;-0.26001063;58.6356287;6.04E-05;91.78487015;504.9762726;10.7520834;15.16041641;0.587520272;69.25;2.978151381;1.951268733
6;1;13.64138794;0.019081019;4.349961758;117.5417175;16.29999924;0.510877788;0.689999998;0.29557541;0.02785;4.30E-05;0.228239164;5.87E-05;1.284600019;0.132045463;1509.920776;-0.118846692;64.35204315;7.03E-05;62.50082016;549.9208984;10.6;14.61666718;0.060133584;25;4.292472363;2.69818759
7;1;8.196965218;0.019012736;4.373849869;120.2081985;16.375;0.543380022;0.730000019;0.298372924;0.027450001;4.18E-05;0.243521333;5.87E-05;1.678200006;0.132044658;1506.444214;-0.127194554;64.16371155;7.41E-05;60;539.9176025;10.60833359;14.65;0.069245294;28;4.23392725;2.414450407
8;1;15.614048;0.018976483;4.369373322;121.8028336;16.04999924;0.49151668;0.839999974;0.295964122;0.0471;4.15E-05;0.273345977;5.87E-05;1.690400004;0.132046178;1505.966919;-0.157179266;64.05895233;8.02E-05;60;545.3267212;10.61666641;14.65;0.076718301;33;4.282268047;2.503090382
9;2;5.381288528;0.019014174;4.309732437;110.1528778;15.80000019;0.462587506;0.879999995;0.307011008;0.047499999;4.53E-05;0.31494844;5.86E-05;1.305400014;0.131826147;1460.356567;-0.180115268;63.83476257;4.93E-05;69.96044922;560.1635742;10.70833359;14.75833282;0.093594819;49;4.214662075;2.384459496
10;1;23.14818382;0.018484796;4.141643524;395.3347626;14.15520835;0.387227081;0.769999996;0.198933613;0.030537501;4.29E-05;0.338497333;5.51E-05;1.049924999;0.131958526;1609.111877;-0.237178266;68.89418983;8.83E-05;123.1046829;507.5;8.604166603;12.32083321;0.857590064;77.75;5.328553915;3.131440461
11;1;24.18251228;0.018251985;4.228282928;794.5189819;14.64999962;0.388735712;0.870000005;0.182306051;0.029999999;4.44E-05;0.368707716;5.43E-05;1.12530005;0.131960854;1905.847412;-0.235588804;66.38777161;0.000105143;112.3778381;480.0791016;6.908333588;10.70833359;0.448515326;78;7.162453175;4.293620586
12;1;23.33605766;0.01842696;4.402070999;610.3095093;16.70000076;0.420869231;0.889999986;0.197415978;0.034949999;4.21E-05;0.348176837;5.53E-05;1.1796;0.132082343;1913.619385;-0.2078785;68.3001709;0.000111784;95;490.3217773;7.516666412;11.19166641;0.776998997;79;6.567760944;3.986329556
