Celdas;N_puntos_por_celda;canopy_height;co;radiation;elevation;ET;EVI;FPAR;gHM_;gpp;HCHO;NDWI;no2;Npp;o3;pp;PSRI;rel_humidity;SO2;soc;soil_ph;temp;temp_max;TOPODIV;VCF;vel_30m_m00_ll;vel_5m_m00_ll
0;1;25.60456467;0.017990625;3.829989394;457.1059825;13.09444443;0.38121136;0.821666668;0.266999379;0.030775;5.76E-05;0.317273552;5.78E-05;1.011983335;0.132047822;2593.007324;-0.292174367;59.04454231;4.54E-05;103.0459544;499.9609884;9.1125;13.7111112;0.807889134;79;3.883052667;2.410171628
1;3;14.66858067;0.017818694;3.445356309;541.9397685;9.859722137;0.206520237;0.716666669;0.219279351;0.024575;5.70E-05;0.26272766;5.73E-05;0.721599996;0.132113978;2585.095256;-0.413212329;58.1561451;5.98E-05;118.0856056;503.3612366;9.115277735;13.75416692;0.967513174;80;3.89820687;2.536483367
2;1;18.88562155;0.018491966;3.938875357;177.9218623;18.64027754;0.455935965;0.894999981;0.303809265;0.035858334;5.92E-05;0.395966232;5.77E-05;1.527533333;0.132445405;2468.03064;-0.234828847;60.12442652;6.71E-05;101.1547419;531.0916646;10.64583333;15.01111094;0.445699573;75;3.474445661;2.173572818
3;1;23.82851919;0.018182428;3.907480915;225.2851257;16.73333359;0.515435949;0.893333316;0.309688931;0.0354;5.76E-05;0.331501767;5.76E-05;1.317616642;0.132157584;2545.934774;-0.280554093;57.39088058;6.66E-05;95.78679276;511.5938924;10.55972214;14.98194453;0.601527512;72.66666667;3.213545561;2.093846579
4;2;9.234303157;0.019065004;4.365925233;116.2337761;16.74027761;0.517912596;0.731666664;0.295517892;0.031450001;4.26E-05;0.238440258;5.87E-05;1.363650004;0.132044298;1505.092407;-0.133398534;64.24504598;6.92E-05;61.22304853;547.4178365;10.6305556;14.64722214;0.065811099;26.16666667;4.24529012;2.535950462
5;1;15.37060785;0.019030689;4.372851928;119.3180796;15.87083324;0.488685255;0.741666665;0.298423131;0.03365;4.31E-05;0.307017287;5.87E-05;1.45994999;0.132040116;1509.162537;-0.12101238;64.00867653;7.46E-05;63.73722649;566.6838379;10.625;14.675;0.062687462;25;4.303431114;2.540845037
6;2;6.530508409;0.019016585;4.32846525;107.8592911;16.67500019;0.493230244;0.763333334;0.337032189;0.036022222;4.62E-05;0.280067901;5.86E-05;1.428788887;0.131812008;1449.159776;-0.149724818;63.75874541;4.98E-05;66.63124296;563.3242459;10.72037048;14.79166667;0.092849443;37;4.311026626;2.480520116
7;1;13.05872428;0.018540073;4.178305348;518.3189036;13.30416695;0.435465564;0.891666651;0.197723322;0.039450001;4.34E-05;0.351721769;5.54E-05;1.067100008;0.132086657;1864.118388;-0.268806356;69.27815374;0.000102863;97.84971619;481.8542684;8.444444529;12.04722214;0.870589415;78.83333333;5.876965523;3.564858635
8;1;24.60844485;0.018237063;4.189752579;749.8697611;16.86666616;0.444096406;0.886666656;0.188094288;0.033275;4.47E-05;0.438208481;5.43E-05;1.674600025;0.131997928;1903.254862;-0.261706255;66.81075668;0.000114596;114.1724879;484.1659444;7.038888931;10.82916679;0.564006512;77.33333333;6.855528831;4.052933733
9;1;19.34928242;0.018458284;4.089563409;472.6464945;14.25555563;0.407292222;0.788333327;0.198489492;0.031483334;4.28E-05;0.343398462;5.50E-05;1.153283338;0.131909877;1626.05129;-0.229067758;69.49207052;8.77E-05;125.7586594;508.3196971;8.280555598;12.02916667;0.854887982;77.5;5.924770753;3.487293363
10;11;26.40336068;0.017137731;NA;1034.929657;12.78472233;0.414617226;0.735000004;0.095333221;0.025166667;6.72E-05;0.372634123;5.57E-05;1.199433327;0.131095774;2258.764201;-0.185363514;48.77383105;5.44E-05;96.1423289;505.0966136;7.016666476;12.3930556;0.732778738;74.83333333;5.183759054;3.178755045
11;1;25.52305603;0.017934472;4.064953327;596.7269999;13.38472207;0.421174854;0.876666665;0.09561815;0.036608333;4.52E-05;0.366841386;5.73E-05;1.060449998;0.130840408;2396.353231;-0.258490205;51.13987923;5.82E-05;102.0905101;515.8877869;9.438888931;14.73472214;0.752396713;77.5;3.874279658;2.446561893
12;1;24.02907976;0.018238703;4.244095961;261.9286906;13.88888868;0.474693333;0.838333319;0.216873566;0.037466666;5.42E-05;0.39568682;5.87E-05;1.485266666;0.130683601;2302.046061;-0.243665216;50.92736944;6.10E-05;84.72490946;526.2976939;11.37361094;16.67222214;0.574792013;70.16666667;3.747284849;2.361707052
