Celdas;N_puntos_por_celda;canopy_height;co;radiation;elevation;ET;EVI;FPAR;gHM_;gpp;HCHO;NDWI;no2;Npp;o3;pp;PSRI;rel_humidity;SO2;soc;soil_ph;temp;temp_max;TOPODIV;VCF;vel_30m_m00_ll;vel_5m_m00_ll
0;1;23.77730141;0.018014003;3.849568387;498.9787267;13.08472228;0.411413598;0.838333329;0.271339609;0.031845834;5.88E-05;0.317315018;5.78E-05;1.054583336;0.132061342;2591.415283;-0.316981775;58.43569724;4.73E-05;103.4492626;494.1545232;8.768749968;13.38402786;0.745665493;79.5;4.033078631;2.50012064
1;3;12.03408852;0.017788612;3.424459696;626.3220037;12.22902759;0.273166789;0.736666669;0.218977254;0.024508333;5.93E-05;0.266175439;5.71E-05;0.820250005;0.132179556;2571.219442;-0.356738829;57.25901667;6.61E-05;122.6014398;505.0287577;8.705555534;13.3861112;0.974342659;79.66666667;4.087638517;2.612816652
2;1;22.19291973;0.018339199;3.956575394;199.8169225;16.66458321;0.475224602;0.894166648;0.306938171;0.035666667;5.77E-05;0.354399559;5.77E-05;1.368899996;0.132276345;2506.888631;-0.262830498;59.26526546;6.50E-05;96.82423719;515.6093953;10.55555553;14.95069453;0.46475516;74.25;3.321183264;2.073389024
3;1;20.67243338;0.018361405;4.081374725;146.498792;18.21527767;0.477602306;0.882499993;0.407405665;0.038641667;5.21E-05;0.316406808;5.77E-05;1.543649991;0.132417701;2406.178202;-0.2051059;60.03178279;5.25E-05;83.11856397;524.5217031;10.76597226;15.15000013;0.311763442;58.25;3.318762739;2.00081263
4;2;11.34356006;0.019093476;4.353985429;117.0479209;16.53680555;0.514973062;0.747499992;0.297986465;0.033420833;4.34E-05;0.233279027;5.87E-05;1.523833325;0.132045389;1506.457377;-0.14029952;64.31680234;6.80E-05;62.06322225;553.6694692;10.62013893;14.63125;0.073025233;29.25;4.244202058;2.518813233
5;1;15.99707015;0.019063723;4.355884949;120.1926079;16.01041651;0.494862817;0.734166657;0.304746171;0.032483333;4.32E-05;0.302038598;5.87E-05;1.361733337;0.132038371;1513.792796;-0.124436622;63.9651769;7.30E-05;67.0401996;569.9612223;10.6277778;14.6756944;0.058133301;23.83333333;4.355714162;2.604655226
6;2;7.275249538;0.019043154;4.316928387;108.0840829;16.35555561;0.489521176;0.763333331;0.30612278;0.037179167;4.57E-05;0.247968407;5.86E-05;1.559158355;0.131867071;1455.878876;-0.146021798;63.87503147;4.38E-05;68.30322138;560.4912059;10.71666673;14.7694444;0.088846382;36.41666667;4.227044106;2.399629056
7;1;15.65895979;0.018351191;4.236217181;612.8823853;15.14166689;0.412398907;0.882499993;0.195527982;0.0353125;4.00E-05;0.418073987;5.49E-05;1.374750018;0.132081121;1912.141774;-0.251037626;67.28896014;0.000122534;100.1784274;487.5739034;7.649305662;11.3319444;0.725441736;78.25;6.523788412;3.978626211
8;1;24.54774189;0.018265577;4.254057924;797.3863678;15.43541638;0.395191597;0.859999994;0.182698033;0.034545834;4.45E-05;0.347854639;5.43E-05;1.621533344;0.131933197;1895.043549;-0.228739693;66.41267776;0.000100833;117.1630688;477.1434174;6.770138931;10.59236113;0.427747488;74.66666667;7.248831828;4.318425397
9;1;19.23894596;0.018477299;4.094021181;456.7197113;14.13645832;0.387379445;0.774999991;0.19756868;0.033116667;4.32E-05;0.328140018;5.51E-05;1.101449996;0.131926291;1617.233582;-0.236915696;69.07229424;8.56E-05;124.7503573;508.757225;8.429861132;12.16805553;0.854339545;78.08333333;5.58593897;3.286008835
10;6;29.11400143;0.017161698;4.19952631;996.7317912;12.63958335;0.412612503;0.760000008;0.09405423;0.029958333;6.68E-05;0.359700844;5.61E-05;1.211033334;0.131078886;2294.705343;-0.223615345;49.76412074;6.05E-05;96.61622111;498.3750483;6.95694437;12.32638887;0.757037203;75.5;5.106651545;3.18451037
11;5;14.08214148;0.017077693;NA;1220.297689;10.58611107;0.249216669;0.344999994;0.09289107;0.011108333;7.03E-05;0.380167119;5.54E-05;0.720158334;0.131063207;2217.690837;-0.184088867;47.42307695;5.53E-05;96.79520543;515.0267665;6.036111101;11.45069447;0.736601323;42.16666667;5.980837266;3.803597152
12;1;27.55821157;0.017947371;4.180878162;665.2773488;13.54722222;0.406732487;0.851666664;0.123488981;0.0381875;4.83E-05;0.329904323;5.70E-05;0.993400003;0.130986239;2401.286418;-0.263984469;51.35476526;5.18E-05;96.31385485;497.5933024;8.867361132;14.16597201;0.700288753;79.08333333;3.928634465;2.478265186
13;1;19.80562909;0.01827943;4.349827051;233.1251297;12.68402767;0.463762008;0.707499993;0.228942983;0.031845833;5.38E-05;0.374329823;5.88E-05;1.447049995;0.130757548;2253.066793;-0.203296132;51.05971591;6.43E-05;87.58351898;548.1891963;11.57083327;16.86249987;0.470524346;58;4.026778698;2.516125341
